Latitude,Longitude,Elevation,Name,LatUTM,LongUTM
38.50165104,-122.155174,217.676926,WC1A,573665.9534,4261814.743
38.50183996,-122.15468,189.60228,WC2B,573708.8392,4261836.103
38.50206804,-122.154736,174.445938,WC6,573703.7245,4261861.366
38.50228596,-122.154459,173.386658,WC8C,573727.6579,4261885.771
38.502379,-122.154062,175.27562,WC8D,573762.1775,4261896.413
38.50196896,-122.154332,211.219101,WC11,573739.054,4261850.696
38.50172496,-122.154354,218.950531,WC12,573737.3805,4261823.604
38.50176997,-122.154596,210.273483,WC14,573716.234,4261828.404
38.50232796,-122.153552,190.682983,WC18,573789.0796,4261882.233
38.502277,-122.15363,188.296982,WC22,573799.951,4261885.44
38.50232796,-122.153552,190.682983,WC24B,573806.7035,4261891.157
38.50244304,-122.153587,186.111771,WC25,573803.531,4261903.899
38.50245201,-122.15363,183.937149,WC26,573799.7724,4261904.86
38.50234204,-122.153809,194.202179,WC28,573784.2731,4261892.514
38.502422,-122.153845,191.417343,WC29,573781.056,4261901.358
38.50210701,-122.153747,186.333725,WC30,573789.9214,4261866.484
38.502004,-122.153697,190.421478,WC32,573794.3899,4261855.093
38.50189403,-122.153859,193.032013,WC33,573780.3741,4261842.76
38.50195203,-122.153904,190.151489,WC35,573776.3901,4261849.16
38.50244899,-122.153768,183.123306,WC37,573787.7452,4261904.415
38.50245603,-122.153804,189.036819,WC39,573784.5953,4261905.167
38.50289902,-122.153584,183.910721,WC40,573803.3287,4261954.499
38.50271503,-122.153549,186.613815,WC43,573806.5642,4261934.111
38.50302843,-122.1525866,220.28,c1,573890.1631,4261969.66
38.50301854,-122.1526431,219.32,c2,573885.2471,4261968.517
38.50295233,-122.1527729,220.28,c3,573873.9935,4261961.065
38.50285836,-122.1529312,220.28,c4,573860.2906,4261950.512
38.50277916,-122.1531231,222.2,c5,573843.6418,4261941.568
38.50267807,-122.1532719,222.68,c6,573830.7647,4261930.232
38.50251705,-122.1534125,223.64,c7,573818.6723,4261912.252
38.50234573,-122.1535028,223.64,c8,573810.9756,4261893.169
38.50217499,-122.1535725,225.09,c9,573805.069,4261874.167
38.50199562,-122.1536542,225.09,c10,573798.1259,4261854.197
38.50187668,-122.1537791,225.57,c11,573787.3571,4261840.899
38.50177065,-122.1539507,226.53,c12,573772.5041,4261828.996
38.50174357,-122.1541448,225.57,c13,573755.6045,4261825.836
38.50175044,-122.1543647,226.53,c14,573736.4263,4261826.423
38.50170476,-122.1545559,227.01,c15,573719.7941,4261821.2
38.50166922,-122.1547545,226.53,c16,573702.5157,4261817.098
38.50164936,-122.1549615,224.61,c17,573684.4904,4261814.728
38.50160007,-122.1551611,223.64,c18,573667.1309,4261809.099
