Date,Rat_ID,Male,Adult,Location,Poison,Toyon,Bay,Buckeye,Cedar,Chamise,Oak,Distance,Date_Index,trial_indiv
10-Aug-13,F5506,0,0,WC26,0.07,0.02,0.03,0.03,0,0.04,0.16,14.69,3,1
7-Sep-13,F5506,0,0,WC26,0.12,0,0.14,0.25,0.03,0.17,0.35,14.69,6,2
10-Aug-13,F5545,0,1,WC28,0.07,0.2,0.25,0.08,0.03,0,0.03,25.33,3,1
27-Jul-13,F5758,0,0,WC8D,0.08,0.04,0.15,0.25,0.09,0.17,0.11,47.9,2,1
10-Aug-13,F5770,0,0,WC2B,0.03,0.01,0.01,0.04,0,0.3,0.08,16.87,3,1
7-Sep-13,F5770,0,0,WC14,0.02,0.06,0.08,0.15,0,0.6,0.63,7.66,6,2
27-Jul-13,F5773,0,1,WC8D,0.27,0.2,0.23,0.26,0.07,0.26,0.68,47.9,2,1
24-Aug-13,F5789,0,0,WC32,0.08,0.01,0.03,0.04,0,0.03,0.99,2.9,4,1
31-Aug-13,F5789,0,0,WC22,0.05,0,0.09,0.03,0.05,0.32,0.91,8.44,5,2
7-Sep-13,F5789,0,0,WC22,0,0.01,0.2,0.16,0.03,0.14,0.6,8.44,6,3
13-Jul-13,F5793,0,0,WC29,0.13,0.19,0.05,0.04,0.04,0.19,0.67,31.02,1,1
31-Aug-13,F5793,0,0,WC24B,0,0.54,0,0.15,0,0.13,1.09,3.37,5,2
10-Aug-13,F6351,0,1,WC39,0.11,0.01,0.07,0.09,0.06,0.09,0.02,29,3,1
31-Aug-13,F6351,0,1,WC39,0.02,0.02,0.05,0.01,0.03,0.23,0.53,29,5,2
10-Aug-13,F6372,0,0,WC6,0.11,0.03,0.1,0.27,0.03,0.1,0.03,42.61,3,1
31-Aug-13,F6372,0,0,WC6,0.05,0.54,0.3,0.08,0.02,0.07,0.59,42.61,5,2
7-Sep-13,F6372,0,0,WC6,0.51,0,0.16,0.22,0.4,0.08,0.63,42.61,6,3
31-Aug-13,F6400,0,1,WC30,0.02,0.04,0,0.04,0,0.01,0.06,11.63,5,1
7-Sep-13,F6400,0,1,WC30,0.04,0.01,0.11,0.19,0,0.02,0.11,11.63,6,2
10-Aug-13,M5521,1,1,WC43,0.53,0.01,0.01,0.05,0.02,0.6,0.36,22.58,3,1
7-Sep-13,M5521,1,1,WC43,0.06,0.1,0.11,0.02,0,0.07,0,22.58,6,2
31-Aug-13,M5529,1,1,WC8C,0.04,0.02,0.16,0.05,0.04,0.31,0.08,60.22,5,1
10-Aug-13,M5537,1,1,WC8C,0.02,0.31,0.04,0.1,0.13,0.08,0.09,60.22,3,1
10-Aug-13,M5540,1,0,WC25,0.04,0.05,0.05,0.11,0.01,0.09,0.05,11.28,3,1
10-Aug-13,M5542,1,1,WC40,0.07,0.02,0.17,0.07,0.01,0.03,0.03,36.42,3,1
7-Sep-13,M5592,1,1,WC18,0.19,0,0.05,0.11,0.21,0.24,0.07,17.69,6,1
24-Aug-13,M5730,1,1,WC1A,0.22,0.2,0.04,0.12,0.01,0.05,0.04,5.4,4,1
7-Sep-13,M5764,1,0,WC22,0.07,0.06,0.06,0.13,0,0.02,0.45,8.44,6,1
13-Jul-13,M5768,1,0,WC11,0.19,0.43,0.08,0.07,0.07,0.06,1.89,25.16,1,1
24-Aug-13,M5768,1,0,WC12,0.08,0.03,0.1,0.09,0.02,0.51,1.3,2.15,4,2
13-Jul-13,M5774,1,0,WC37,0.2,0.1,0.05,0.11,0.05,0.19,0.55,26.54,1,1
31-Aug-13,M5774,1,0,WC37,0,0,0.05,0.07,0,0.16,0.07,26.54,5,2
24-Aug-13,M5779,1,1,WC33,0.08,0.02,0.06,0,0.01,0.07,0.09,6.08,4,1
31-Aug-13,M5779,1,1,WC35,0.03,0.01,0.04,0.08,0.03,0.01,0.23,13.29,5,2
7-Sep-13,M5779,1,1,WC35,0.61,0.29,0.1,0.24,0.04,0.27,1.01,13.29,6,3
10-Aug-13,M5799,1,0,WC35,0.1,0.01,0.02,0.11,0.01,0.71,0.13,13.29,3,1
